id,ra_deg,dec_deg,u,v,mag,electrons_deposited
7407,358.33506855,10.56175465,354.713,17.232,8.070,2.957808
7409,358.41149085,5.01123239,353.119,135.240,8.740,1.595769
7422,358.80682560,5.07746687,344.874,133.866,7.790,3.827983
7434,359.40411870,10.69424666,332.421,14.455,9.690,0.665227
7443,359.73561405,1.27501927,325.511,213.419,8.270,2.460198
113510,345.15783182,0.18583971,636.477,235.993,6.220,16.254365
113567,345.31827027,1.08445225,632.900,216.630,8.370,2.243727
113573,345.34605720,0.12135943,632.281,237.385,7.800,3.792888
113605,345.43150931,3.53103820,630.379,163.859,6.440,13.273028
113627,345.48084087,2.68602462,629.282,182.124,7.630,4.435780
113636,345.51058671,1.20927392,628.620,213.962,9.240,1.006862
113637,345.51312560,0.39864689,628.564,231.418,8.860,1.428795
113640,345.52456683,3.85045713,628.309,156.986,8.810,1.496132
113670,345.60128208,0.43918199,626.604,230.549,7.380,5.584316
113673,345.61084259,0.59792351,626.392,227.133,7.850,3.622180
113734,345.78440495,0.42920986,622.539,230.771,7.780,3.863403
113779,345.93758159,2.60893157,619.144,183.901,8.140,2.773129
113789,345.96919380,3.82006998,618.444,157.805,4.480,80.717928
113796,345.98785818,4.79495356,618.030,136.749,6.680,10.640695
113809,346.01258061,1.07421178,617.483,216.923,9.830,0.584750
113813,346.02160961,3.29340535,617.283,169.180,7.400,5.482391
113831,346.07694891,1.89985396,616.058,199.186,9.120,1.124527
113856,346.16186389,3.49449517,614.180,164.891,9.330,0.926766
113865,346.19644716,5.16316756,613.416,128.879,8.580,1.849141
113876,346.23820006,4.59993314,612.493,141.074,7.350,5.740768
113878,346.24691736,5.19622967,612.301,128.188,8.800,1.509976
113880,346.25029753,4.22579562,612.226,149.155,7.070,7.429678
113905,346.32338622,1.30717903,610.612,211.954,6.390,13.898566
113921,346.36470357,1.76284699,609.700,202.178,8.590,1.832188
113962,346.49599046,5.65813797,606.804,118.314,9.400,0.868900
113969,346.53709835,4.68670026,605.898,139.327,9.260,0.988485
113997,346.63581164,0.19606931,603.723,235.799,9.330,0.926766
114018,346.67038326,4.19952737,602.962,149.881,10.610,0.285082
114019,346.67429896,4.20088229,602.876,149.854,9.130,1.114218
114025,346.69407579,5.03589266,602.441,131.859,7.560,4.731186
114047,346.76106633,3.05220759,600.967,174.582,6.980,8.071793
114101,346.91888837,2.10539636,597.497,194.926,9.380,0.885054
114106,346.92813889,6.59967738,597.294,98.151,9.180,1.064070
114108,346.93060085,6.60476050,597.240,98.042,9.000,1.255943
114110,346.94033780,0.29604027,597.026,233.666,7.050,7.567806
114117,346.96120084,5.69763653,596.568,117.694,8.520,1.954204
114122,346.97744210,4.77674673,596.211,137.569,8.880,1.402717
114127,347.00724137,3.57309258,595.557,163.467,7.750,3.971641
114129,347.01348706,4.87425972,595.420,135.483,7.660,4.314893
