id,ra_deg,dec_deg,u,v,mag,electrons_deposited
22483,359.99998651,0.00000732,406.308,193.147,9.400,0.868900
22492,0.00004248,-0.00002678,48.128,411.384,10.920,0.214274
22513,359.99996407,-0.00001560,549.950,339.871,7.650,4.354818
22517,359.99998709,-0.00000616,402.610,279.455,8.510,1.972287
22539,359.99999759,0.00000992,335.412,176.502,9.990,0.504626
22540,359.99998391,-0.00001079,422.954,309.047,8.590,1.832188
22547,0.00004759,0.00002919,15.454,53.204,8.060,2.985176
22549,359.99996513,0.00000992,543.169,176.502,3.680,168.643654
22568,359.99997505,-0.00002601,479.671,406.452,8.470,2.046303
22585,0.00002678,0.00000655,148.616,198.079,8.390,2.202774
22593,359.99996474,-0.00001339,545.635,325.692,8.400,2.182579
22599,359.99998151,0.00002562,438.366,76.014,8.810,1.496132
22637,0.00004335,-0.00003622,42.580,471.800,9.480,0.807179
22648,0.00001994,-0.00000231,192.387,254.796,9.930,0.533298
22673,0.00002235,-0.00002572,176.975,404.603,8.400,2.182579
22681,359.99996494,-0.00002582,544.402,405.219,8.920,1.351979
22707,359.99998834,0.00001744,394.595,128.415,8.980,1.279293
22726,359.99998825,-0.00002061,395.212,371.929,8.860,1.428795
22732,0.00003564,-0.00003179,91.899,443.441,8.850,1.442016
22739,359.99998372,0.00002013,424.187,111.154,9.070,1.177525
22743,0.00002090,0.00003439,186.222,19.913,6.550,11.994165
22789,359.99997428,-0.00002774,484.603,417.549,9.030,1.221715
22794,0.00002466,-0.00000684,162.179,283.771,10.160,0.431489
22797,0.00001377,0.00000222,231.842,225.821,3.710,164.047647
22814,359.99995213,0.00000636,626.395,199.312,8.550,1.900947
22849,0.00000135,-0.00001580,311.369,341.104,10.820,0.234947
22856,359.99999075,0.00002052,379.183,108.688,8.540,1.918536
22863,0.00002553,-0.00000877,156.630,296.101,8.270,2.460198
22878,359.99999200,0.00000058,371.169,236.301,8.860,1.428795
22882,0.00003574,-0.00000636,91.283,280.688,8.490,2.008954
22885,0.00003593,-0.00000616,90.050,279.455,11.200,0.165566
22900,0.00001002,0.00000915,255.885,181.434,10.070,0.468781
22909,359.99996031,0.00000771,573.994,190.681,7.970,3.243172
22931,359.99997351,-0.00001117,489.534,311.513,7.860,3.588971
22948,359.99998940,-0.00002350,387.814,390.423,8.770,1.552280
22955,0.00000116,-0.00003718,312.602,477.965,6.100,17.236813
22964,0.00004518,-0.00003429,30.867,459.470,9.780,0.612308
22966,0.00000135,-0.00002196,311.369,380.560,8.110,2.850821
22971,359.99998728,-0.00002100,401.377,374.395,7.920,3.396018
22978,359.99997756,-0.00002119,463.642,375.628,8.810,1.496132
