id,ra_deg,dec_deg,mag,x,y,z,u,v
114420,347.93920263,0.22346834,8.600,0.977918993925,-0.208947910693,0.00390024841851,575.172,235.237
114424,347.95295324,4.72078331,9.080,0.97465886185,-0.208006753772,0.0823000206756,574.872,139.157
114431,347.97860814,9.02199845,8.580,0.965969427097,-0.205700117225,0.156813671879,574.313,46.127
114447,348.04679126,6.60554057,8.310,0.971822653384,-0.205737917998,0.115033210283,572.828,98.638
114450,348.05393051,2.04688820,9.040,0.977718618355,-0.206858828563,0.0357173398766,572.672,196.372
114452,348.05449526,3.93711281,8.580,0.976036026593,-0.206492786467,0.0686615170938,572.660,155.987
114457,348.07926009,2.00961094,8.660,0.977832501899,-0.206431330381,0.0350671365737,572.121,197.171
114460,348.09059662,9.02937106,8.080,0.96634988461,-0.203807507106,0.156940754942,571.874,46.046
114466,348.11642423,8.27996681,9.130,0.96836765904,-0.20377717374,0.144010209316,571.312,62.397
114472,348.15073378,3.61813347,8.130,0.976740467949,-0.204928385042,0.0631063806174,570.565,162.840
114475,348.16064492,2.68657905,7.710,0.977650958125,-0.204942859504,0.0468724696886,570.349,182.743
114487,348.20612818,6.52693019,10.760,0.972544622016,-0.203066599259,0.113670200371,569.360,100.416
114494,348.22331955,6.95140641,9.420,0.971754423781,-0.202597342806,0.121027503279,568.986,91.261
114502,348.25148518,0.03080051,7.630,0.979050609347,-0.203616343538,0.000537570284902,568.373,239.344
